rock_id,label,density,eigenvalue_ratio,normal_consistency,ground_contact_ratio,volume,height,height_width_ratio,cluster_count
rock_8787,positive,74.58590266578123,0.09178170778380342,0.49375440249868935,0.016744141922018785,11.152500310879844,1.5697000000000116,0.5352770673495325,2
rock_13141,negative,48.93487369807255,0.064404686135234,0.5252273079740205,0.02490123308990782,17.318871304433802,5.513099999999895,2.6861722861986097,12
rock_8786,positive,55.95613149332436,0.14998816437954984,0.5135280504945967,0.016268372040839224,6.895109297887799,1.836799999999812,0.940646284620134,3
rock_15137,negative,120.0074019342666,0.017021495255421085,0.5114003638374021,0.022773152485123564,24.608074488559545,1.2769000000000688,0.28816122043745046,2
rock_8790,negative,55.11967213114754,0.011069845012362632,0.5502441019027867,0.8254098360655737,0.14012069836569244,0.23420000000010077,0.29511088710604416,1
rock_8791,negative,57.75303126994257,0.0014160638884741325,0.5322062758477655,0.5047862156987875,0.10271986494228139,0.13370000000008986,0.13733949665853523,1
rock_15279,positive,24.888317564788153,0.06222234407768951,0.5503553047086455,0.00030851501439736734,55.905183244070884,8.730000000000018,2.534696010664621,51
rock_118,negative,52.072502713038084,0.008218929549982958,0.6144606803671403,0.01379773655108263,16.96618181686673,1.4035999999998694,0.31392722150781766,1
rock_3013,negative,49.51715726134331,0.1850853907283685,0.4914187939662752,0.02748414376321353,3.7117513606536274,1.7246999999999844,1.0426187885445963,6
rock_8768,positive,88.10144927536231,0.1034907848980557,0.48991408537689884,0.06184935701163503,0.813038341775862,0.573799999999892,0.47448937402276115,2
rock_195,negative,104.42538750802531,0.07094900816733773,0.5139862095099904,0.013115656241401449,11.583692548762093,2.0942999999999756,0.8069276412141443,3
rock_194,negative,53.04172185430463,0.04096083758305174,0.5245828849273695,0.2513245033112583,0.6290341787470096,0.4580999999998312,0.3550337130916933,1
rock_183,positive,107.5407844498438,0.1602114946568871,0.48862942734504966,0.4036792780284623,0.30490399102438837,0.4248999999999796,0.46564383556889116,2
rock_144,negative,3.51482254697286,0.03894732057699211,0.5209749603110913,0.0006263048016701461,218.30888748501832,13.980199999999968,3.329966891369424,21
rock_193,negative,56.81950062770261,0.0343408499781963,0.5322484973693415,0.003835960384990933,27.133240250389093,2.114900000000034,0.5113518218533275,4
rock_8721,positive,46.73083403538332,0.09706283912235442,0.529895418903868,0.04675652906486942,1.6017195235829913,0.6492999999998119,0.3926584421957859,1
rock_8668,positive,32.76359338061466,0.0913630717535673,0.5557523825048893,0.3628841607565012,0.22405801149894727,0.3730000000000473,0.38287825908563333,2
rock_16854,positive,44.425294175813306,0.17830743302916463,0.5210084878765945,0.01868881637496292,10.024483548482783,2.5570999999999913,1.1602087114808175,5
rock_192,negative,92.6757946210269,0.0436791736443326,0.49499445791312235,0.05012224938875306,1.5033893994718401,2.115199999999959,1.642746194419683,3
rock_190,positive,71.67039106145252,0.0477509464716412,0.5204555214754071,0.03541688626541583,3.3243632655361424,0.9296999999999116,0.45755204488365664,2
rock_8722,positive,46.03439211391019,0.08987379082866138,0.5357127554173237,0.13231106243154436,1.5482029540297078,0.6582000000000789,0.41985073674436146,2
rock_3501,negative,41.501709401709405,0.06728377938827901,0.5686412109368864,0.14145299145299145,1.4349512781587803,1.1613999999999578,0.9662229616914849,4
rock_18932,positive,38.82228013029316,0.13818751783029654,0.5369837916613979,0.009250814332247557,8.9649238289367,2.3278000000000247,1.1400724849286712,5
rock_163,negative,32.697182070375234,0.014649648459362482,0.5456212523777848,0.008614396262228062,68.49615430896652,13.020100000000184,4.7820545781022075,43
rock_188,positive,132.10680650684932,0.19514482380039117,0.48827698152605326,0.01230736301369863,1.6370349675101092,1.0097999999998137,0.7573121343913423,1
rock_189,negative,127.52892915745167,0.005426550347359375,0.5329743200277263,0.006527787686380823,8.798019479883196,1.3079000000000178,0.466224646204196,1
rock_162,negative,42.34454600853138,0.033693240061739176,0.5575440218096573,0.030347349177330896,6.981823934737096,1.2953999999999724,0.5018207174353584,4
rock_174,positive,114.56711915535445,0.09541938894954646,0.4833299472007389,0.32654600301659126,0.424975572623656,0.4248999999999796,0.41730504812767044,2
rock_1708,negative,37.24895477004941,0.01169299630002455,0.5321007244277525,0.09711136450019005,15.786549863896251,6.483199999999897,2.2431665628945474,15
rock_161,negative,28.466453034247948,0.2114113865247164,0.4952849614415975,0.009813739234928901,47.86410979496668,5.20659999999998,1.4436711492926702,26
rock_15174,negative,53.457458444655636,0.05152206152844451,0.4942792502114976,1.7931108680449712e-05,230.41574373332296,12.787500000000136,2.6288469049933196,236
rock_15206,negative,63.860467743757766,0.004109506542339925,0.5369293735606232,0.03694497796859112,1.3517728821549113,0.33809999999994034,0.15334028752436263,1
rock_8675,positive,33.54430992736077,0.08013753148704154,0.5483064246723,0.22033898305084745,0.8497622322803985,0.5707999999999629,0.4482135845647367,2
rock_164,negative,40.86261040235525,0.0032180305457516364,0.5931721413642314,0.9077526987242395,0.06447720584390243,0.09559999999987667,0.08751373123200955,1
rock_8529,positive,75.34043723360374,0.12133476414092814,0.47871902426948276,0.042485906778495806,1.345496460285745,0.6264999999998508,0.3850645359607247,1
rock_14223,positive,64.15530656707128,0.06535381823753925,0.5403703863072131,0.07531901649548708,1.4165918313784538,1.2679000000000542,1.00260952080112,2
rock_3584,negative,23.925335832552328,0.22738388345282168,0.5883730504366335,0.013433302093095907,6.400373189311323,2.9284999999999854,1.676398190943343,13
rock_8764,positive,67.22205551387847,0.06773577784213515,0.505896191940321,0.08777194298574643,0.6359506267627341,0.5846000000001368,0.5268090474761995,1
rock_8770,negative,58.50372081088016,0.04847482865494339,0.5058408254280741,0.024976477632366777,5.824918656218131,1.2121999999999389,0.4617728848416234,2
rock_117,negative,43.07342703270721,0.20629542321778196,0.5586553865447298,0.0004597399185603573,113.84230444890129,6.516799999999876,1.5582602042557907,18
rock_8772,positive,33.08234560199626,0.23580104610075867,0.5157371259555912,0.1684341859014348,1.1920595027239138,1.1433999999999287,1.1095584663946176,3
rock_8767,negative,52.24204412037323,0.11361303646721851,0.5010213618164104,0.0006797256380152012,30.88530681452864,2.2706000000000586,0.5509961416222531,6
rock_116,negative,45.150372619376206,0.21394062749384865,0.5626006850111764,0.0033121722329561135,63.598268401272854,6.3297000000000025,1.7755119214864563,7
rock_8763,positive,89.19976047904191,0.07680182129820025,0.4940562923385301,0.07880239520958084,0.5649694729342994,0.4931000000001404,0.4437145685276422,2
rock_8748,positive,186.4379988406831,0.13183570572405187,0.46682226158232687,0.07473135060418246,2.191731042702478,0.715900000000147,0.3807371164492019,2
rock_8952,negative,56.934846989141164,0.13848427763167967,0.5232669377306147,0.07305034550839092,0.7854122944879284,0.8897999999999229,0.8750983477220874,2
